id,lattitude,longitude,Contents 13 May,Contents 10 May,Notes,General location
1,45.1027,-61.5449,2e,,,"North side, along path"
2,45.1027,-61.5451,2e,,,"North side, along path"
3,45.1029,-61.5451,2e,,,"North side, along path"
4,45.1029,-61.5451,empty,,,"North side, along path"
5,45.1029,-61.5452,2e,,,"North side, along path"
6,45.103,-61.5456,3e,,,"North side, along path"
7,45.1029,-61.5448,empty,,,"North side, along path"
8,45.1029,-61.545,2e,,,"North side, along path"
9,45.1031,-61.5447,1e,,,"North side, along path"
10,45.1031,-61.5446,2e,,,"North side, along path"
11,45.1031,-61.5445,empty,,,"North side, along path"
12,45.1033,-61.5447,2e,,,"North side, along path"
13,45.1013,-61.5325,3e,,under a bush,South of camp
14,45.1011,-61.5543,3e,,,South of camp
15,45.101,-61.5426,3e,,,South of camp
16,45.101,-61.5426,1e,,,South of camp
17,45.1012,-61.5424,empty,,,South of camp
18,45.1012,-61.5424,3e,2e,,South of camp
19,45.1012,-61.5423,3e,2e,,South of camp
20,45.1012,-61.5424,2e,1e,,South of camp
21,45.1011,-61.5424,2e,1e,,South of camp
22,45.1011,-61.5424,2e,,,South of camp
23,45.1012,-61.5421,1e,,,South of camp
24,45.1013,-61.5421,3e,,,South of camp
25,45.1014,-61.5424,1e,empty,,South of camp
26,45.1014,-61.5432,3e,,,South of camp
27,45.1012,-61.5435,3e,,,South of camp
28,45.1011,-61.5438,2e,,,South of camp
