DateTimeGullTagged,Locality,SpeciesTagged,BandNumber,FieldReadableCode,FdReadCodeColour,FdReadBkGrdColour,BiologgerID,ClutchSize18May,ClutchSize19May,ClutchStatus19May,TotalHead,Culmen,BillDepth,Wing,Tarsus,Mass,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Comments
2022-05-18T12:00:00Z,Country Island,Herring Gull,1176-61805,EMN,white,pink,LARI15,3,3,Destroyed,119.3,54.9,20.2,418,70.1,920,0,0,0,0,0,0,0,0,0,0,garmin wypt 0008; stake: 13 May 2022 Lar15
2022-05-18T14:39:00Z,Country Island,Herring Gull,1176-61807,EMZ,white,pink,LARI10,3,3,Intact,137.2,64.3,22.6,458,75.4,1301,0,0,0,0,0,0,0,0,0,0,waypoint 0010; bird weighed with logger
2022-05-18T16:50:00Z,Country Island,Herring Gull,1176-61810,EMC,white,pink,LARI14,3,3,Destroyed,123,59.2,19.6,452,66,1050,1,3,3,0,0,0,0,0,0,0,NA
2022-05-18T17:11:48Z,Country Island,Herring Gull,1176-61812,EMX,white,pink,LARI01,1,2,Intact,119.1,55.7,20,418,68.2,1110,1,0,0,0,0,0,0,0,0,0,NA
2022-05-18T18:20:50Z,Country Island,Herring Gull,1176-61813,EMK,white,pink,LARI12,3,3,Intact,122.7,57.4,19.9,438,64.4,940,0,0,0,0,0,0,0,0,0,0,NA
2022-05-18T20:10:00Z,Country Island,Herring Gull,1176-61814,EMA,white,pink,LARI07,3,3,Intact,120.1,55,20.4,419,61.5,961,1,0,0,0,0,0,0,0,0,0,Bird mass includes logger
2022-05-18T21:56:00Z,Country Island,Herring Gull,1176-61816,EMM,white,pink,LARI06,3,3,Intact,121,54.9,19.1,427,68,930,0,0,0,0,0,0,0,0,0,0,NA
2022-05-18T12:01:00Z,Country Island,Herring Gull,1176-61804,EMT,white,pink,LARI11,3,3,Destroyed,112.8,52.5,18.5,430,60.3,800,0,0,0,0,0,0,0,0,0,0,NA
2022-05-18T13:23:00Z,Country Island,Herring Gull,1176-61806,EMU,white,pink,LARI05,3,3,Intact,132.9,58.5,21.1,446,71.8,1140,2,2,0,0,0,0,0,0,0,0,NA
2022-05-18T14:41:40Z,Country Island,Herring Gull,1176-61808,EML,white,pink,LARI02,3,3,Destroyed,128.6,56.5,21.4,455,74.9,1131,3,0,0,0,0,0,0,0,0,0,Bird measured with gsm logger
2022-05-18T15:02:35Z,Country Island,Herring Gull,1176-61809,EMJ,white,pink,LARI03,3,3,Destroyed,121.2,56.3,19.6,434,69.7,1010,1,0,0,0,0,0,0,0,0,0,NA
2022-05-18T16:49:56Z,Country Island,Herring Gull,1176-61811,EMY,white,pink,LARI04,3,3,Destroyed,130,59.3,20.9,463,72.6,1250,1,2,0,0,0,0,0,0,0,0,One broken egg
2022-05-18T20:54:00Z,Country Island,Herring Gull,1176-61815,EMV,white,pink,LARI08,3,3,Destroyed,120,57.3,19.3,415,66.9,920,0,0,0,0,0,0,0,0,0,0,Cracked eggs. Good candidate for destroyed nest since eggs were cracked.
2022-05-18T22:01:06Z,Country Island,Herring Gull,1176-61817,EME,white,pink,LARI13,3,3,Intact,124,53.3,19.7,425,68.5,1010,0,0,0,0,0,0,0,0,0,0,Had 1 egg before
2022-05-18T22:21:00Z,Country Island,Herring Gull,1176-61818,EMP,white,pink,LARI09,3,3,Destroyed,118.4,53.7,19.1,418,63.3,950,1,0,0,0,0,0,0,0,0,0,Foundation 2 - maybe #21
